issuer_name,disclosure_desc,link,date_posted
-,Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P11116044,01/30/2021
BERKELEY CNTY S C,Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P11116044,01/30/2021
"BERKELEY COUNTY, SOUTH CAROLINA",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P11116044,01/30/2021
"BOARD OF EDUCATION OF THE BOROUGH OF BUTLER IN THE COUNTY OF MORRIS, NEW JERSEY",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P11116107,01/30/2021
"BOARD OF EDUCATION OF THE BOROUGH OF WEST LONG BRANCH, NEW JERSEY",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P11116113,01/30/2021
BOARD OF EDUCATION OF THE CITY OF ABSECON,Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P11116087,01/30/2021
"BOARD OF EDUCATION OF THE CITY OF LONG BRANCH, NEW JERSEY",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P11116112,01/30/2021
"BOARD OF EDUCATION OF THE NORTHERN BURLINGTON COUNTY REGIONAL SCHOOL DISTRICT, NEW JERSEY",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P11116103,01/30/2021
"BOARD OF EDUCATION OF THE TOWNSHIP OF HOWELL IN THE COUNTY OF MONMOUTH, NEW JERSEY",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P11116036,01/30/2021
"CITY OF GOLDSBORO, NORTH CAROLINA",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P11116071,01/30/2021
"CITY OF GOLDSBORO, NORTH CAROLINA",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P11116075,01/30/2021
COMMUNITY FACILITIES DISTRICT NO. 2006-2 OF THE LAKE ELSINORE UNIFIED SCHOOL DISTRICT (IMPROVEMENT AREA NO. C),Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P11116085,01/30/2021
"COUNTY OF EDGECOMBE, NORTH CAROLINA",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P11116022,01/30/2021
"COUNTY OF ONSLOW, NORTH CAROLINA",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P11116029,01/30/2021
DELRAN TWP N J BRD ED,Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P11116098,01/30/2021
DENTON CNTY TEX MUN UTIL DIST NO 5,Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P11116067,01/30/2021
DENTON COUNTY MUNICIPAL UTILITY DISTRICT NO. 5,Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P11116067,01/30/2021
"DENTON COUNTY MUNICIPAL UTILITY DISTRICT NO. 5 (A POLITICAL SUBDIVISION OF THE STATE OF TEXAS, LOCATED WITHIN DENTON COUNTY)",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P11116067,01/30/2021
DENTON COUNTY MUNICIPAL UTILITY DISTRICT NO. 5 TEXAS,Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P11116067,01/30/2021
"DENTON COUNTY MUNICIPAL UTILITY DISTRICT NO. 5, TEXAS",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P11116067,01/30/2021
"DENTON COUNTY MUNICIPAL UTILITY DISTRICT NO. 5, TEXAS (A POLITICAL SUBDIVISION OF THE STATE OF TEXAS, LOCATED WITHIN DENTON COUNTY)",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P11116067,01/30/2021
HARRIS CNTY TEX WTR CTL & IMPT DIST NO 96,Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P11116072,01/30/2021
HARRIS COUNTY WATER CONTROL AND IMPROVEMENT DISTRICT NO. 96,Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P11116072,01/30/2021
HARRIS COUNTY WATER CONTROL AND IMPROVEMENT DISTRICT NO. 96 TEXAS,Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P11116072,01/30/2021
