issuer_name,disclosure_desc,link,date_posted
BLUE LAKE UNION ELEMENTARY SCHOOL DISTRICT,Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31078131,01/23/2021
"BLUE LAKE UNION ELEMENTARY SCHOOL DISTRICT (HUMBOLDT COUNTY, CALIFORNIA)",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31078131,01/23/2021
"COMMUNITY COLLEGE DISTRICT #521, COUNTIES OF JEFFERSON, FRANKLIN, HAMILTON, WAYNE, PERRY, WHITE WILLIAMSON & WASHINGTON, ILLINOIS (REND LAKE COLLEGE)",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31078148,01/23/2021
"COMMUNITY CONSOLIDATED SCHOOL DISTRICT NUMBER 73 LAKE COUNTY, ILLINOIS (HAWTHORN)",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31078149,01/23/2021
"COMMUNITY UNIT SCHOOL DISTRICT NUMBER 205 DUPAGE AND COOK COUNTIES, ILLINOIS (ELMHURST)",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31078138,01/23/2021
"COMMUNITY UNIT SCHOOL DISTRICT NUMBER 205, DUPAGE AND COOK COUNTIES, ILLINOIS (ELMHURST)",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31078138,01/23/2021
"COMMUNITY UNIT SCHOOL DISTRICT NUMBER 309, PEORIA COUNTY, ILLINOIS (BRIMFIELD)",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31078146,01/23/2021
"COMMUNITY UNIT SCHOOL DISTRICT NUMBER 424 DEKALB COUNTY, ILLINOIS (GENOA-KINGSTON)",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31078124,01/23/2021
"COMMUNITY UNIT SCHOOL DISTRICT NUMBER 60 (WAUKEGAN) LAKE COUNTY, IL",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31078144,01/23/2021
"COMMUNITY UNIT SCHOOL DISTRICT NUMBER 60 LAKE COUNTY, ILLINOIS (WAUKEGAN)",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31078144,01/23/2021
"COMMUNITY UNIT SCHOOL DISTRICT NUMBER 60, LAKE COUNTY, ILLINOIS (WAUKEGAN)",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31078144,01/23/2021
"COMMUNITY UNIT SCHOOL DISTRICT NUMBER 88, KENDALL COUNTY, ILLINOIS (PLANO)",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31078126,01/23/2021
COOK CNTY ILL SCH DIST NO 127 1/2,Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31078125,01/23/2021
DU PAGE & COOK CNTYS ILL CMNTY UNIT SCH DIST NO 205,Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31078138,01/23/2021
DU PAGE & COOK CNTYS ILL CMNTY UNIT SCH DIST NO 205 ELMHURST,Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31078138,01/23/2021
"HUNTLEY COMMUNITY SCHOOL DISTRICT 158 MCHENRY AND KANE COUNTIES, ILLINOIS",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31078123,01/23/2021
"HUNTLEY COMMUNITY SCHOOL DISTRICT 158, MCHENRY AND KANE COUNTIES, ILLINOIS",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31078123,01/23/2021
ILLINOIS FINANCE AUTHORITY (ELMHURST COMMUNITY UNITED SCHOOL DISTRICT NUMBER 205 PROJECT),Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31078138,01/23/2021
KANKAKEE CNTY ILL CMNTY HIGH SCH DIST NO 307,Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31078142,01/23/2021
"KANKAKEE COUNTY, ILLINOIS",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31078142,01/23/2021
KANSAS CITY KANS CMNTY COLLEGE AUXILIARY ENTERPRISE SYS REV,Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31078133,01/23/2021
"KANSAS CITY KANSAS COMMUNITY COLLEGE WYANDOTTE COUNTY, KANSAS",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31078133,01/23/2021
"KANSAS CITY KANSAS COMMUNITY COLLEGE WYANDOTTE COUNTY, KANSAS",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31078133,01/23/2021
"KANSAS CITY, KANSAS COMMUNITY COLLEGE WYANDOTTE COUNTY, KANSAS",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31078133,01/23/2021
KENDALL CNTY ILL CMNTY UNIT SCH DIST NO 88 PLANO,Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31078126,01/23/2021
KING CITY CALIF UN SCH DIST,Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31078158,01/23/2021
LAKE CNTY ILL CMNTY UNIT SCH DIST NO 60 WAUKEGAN,Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31078144,01/23/2021
LAKE CNTY ILL TWP HIGH SCH DIST NO 113 HIGHLAND PK,Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31078127,01/23/2021
LEMON GROVE CALIF SCH DIST,Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31078160,01/23/2021
LEMON GROVE CALIF SCH DIST CTFS PARTN,Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31078160,01/23/2021
"LEMON GROVE SCHOOL DISTRICT (SAN DIEGO COUNTY, CALIFORNIA)",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31078160,01/23/2021
LEMON GROVE SCHOOL DISTRICT SAN DIEGO CA,Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31078160,01/23/2021
"LEMON GROVE SCHOOL DISTRICT SAN DIEGO COUNTY, CA",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31078160,01/23/2021
"LEMON GROVE SCHOOL DISTRICT, SAN DIEGO COUNTY, CALIFORNIA",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31078160,01/23/2021
"MARION, CLINTON, WASHINGTON & JEFFERSON COUNTIES, ILLINOIS (CENTRALIA)",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31078136,01/23/2021
MC HENRY & KANE CNTYS ILL CMNTY CONS SCH DIST NO 158,Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31078123,01/23/2021
"MCHENRY & KANE COUNTIES CCSD #158 (HUNTLEY), IL",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31078123,01/23/2021
PATTERSON CALIF JT UNI SCH DIST,Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31078162,01/23/2021
PATTERSON CALIF JT UNI SCH DIST CTFS PARTN,Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31078162,01/23/2021
PATTERSON JOINT UNIFIED SCHOOL DISTRICT (CA),Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31078162,01/23/2021
"PATTERSON JOINT UNIFIED SCHOOL DISTRICT, CALIFORNIA",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31078162,01/23/2021
"REND LAKE COMMUNITY COLLEGE DISTRICT NUMBER 521, COUNTIES OF JEFFERSON, FRANKLIN, HAMILTON, WAYNE, PERRY, WHITE, WILLIAMSON AND WASHINGTON, STATE OF ILLINOIS",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31078148,01/23/2021
"RICHLAND SCHOOL DISTRICT NUMBER 88A WILL COUNTY, ILLINOIS (RICHLAND)",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31078134,01/23/2021
"SCHOOL DISTRICT #37 (EAST MOLINE) ROCK ISLAND COUNTY, IL",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31078151,01/23/2021
"SCHOOL DISTRICT NUMBER 127-1/2, COOK COUNTY, ILLINOIS (CHICAGO RIDGE)",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31078125,01/23/2021
