issuer_name,disclosure_desc,link,date_posted
"(ELK GROVE) COMMUNITY CONSOLIDATED SCHOOL DISTRICT NUMBER 59, COOK COUNTY, ILLINOIS",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31078205,01/24/2021
CARROLLTON-FARMERS BRANCH INDEPENDENT SCHOOL DISTRICT,Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31078203,01/24/2021
"CARROLLTON-FARMERS BRANCH INDEPENDENT SCHOOL DISTRICT (DALLAS AND DENTON COUNTIES, TEXAS)",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31078203,01/24/2021
"CARROLLTON-FARMERS BRANCH INDEPENDENT SCHOOL DISTRICT, TEXAS",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31078203,01/24/2021
"CITY OF FLAGSTAFF, ARIZONA",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31078185,01/24/2021
"COMMUNITY CONSOLIDATED SCHOOL DISTRICT NUMBER 46 LAKE COUNTY, ILLINOIS (GRAYSLAKE)",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31078187,01/24/2021
"COMMUNITY UNIT SCHOOL DISTRICT NUMBER 40 EFFINGHAM AND CLAY COUNTIES, ILLINOIS (EFFINGHAM)",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31078212,01/24/2021
PLACER CALIF UN HIGH SCH DIST,Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31078165,01/24/2021
"PLACER UNION HIGH SCHOOL DISTRICT SCHOOL FACILITIES IMPROVEMENT DISTRICT NO.1, CALIFORNIA",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31078165,01/24/2021
"PLACER UNION HIGH SCHOOL DISTRICT SCHOOL FACILITIES IMPROVEMENT DISTRICT NO.2, CALIFORNIA",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31078165,01/24/2021
"PLACER UNION HIGH SCHOOL DISTRICT SCHOOL FACILITIES IMPROVEMENT DISTRICT NUMBER 2 PLACER COUNTY, CALIFORNIA",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31078165,01/24/2021
ROHNERT PARK (CITY OF) COMMUNITY DEVELOPMENT COMMISSION (SUCCESSOR AGENCY TO THE),Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31078209,01/24/2021
"ROHNERT PARK (CITY OF), CALIFORNIA",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31078208,01/24/2021
ROHNERT PARK CALIF CMNTY DEV AGY TAX ALLOC,Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31078207,01/24/2021
"SADDLEBACK VALLEY UNIFIED SCHOOL DISTRICT (ORANGE COUNTY, CALIFORNIA)",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31078178,01/24/2021
"SADDLEBACK VALLEY UNIFIED SCHOOL DISTRICT (ORANGE COUNTY, CALIFORNIA)",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31078178,01/24/2021
"SADDLEBACK VALLEY UNIFIED SCHOOL DISTRICT, CALIFORNIA",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31078178,01/24/2021
"SCHOOL DISTRICT NUMBER 73 -1/2, COOK COUNTY, ILLINOIS (SKOKIE)",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31078190,01/24/2021
"SCHOOL DISTRICT NUMBER 73-1/2 COOK COUNTY, ILLINOIS (SKOKIE)",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31078190,01/24/2021
THE MONMOUTH COUNTY IMPROVEMENT AUTHORITY,Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31078168,01/24/2021
"THE MONMOUTH COUNTY IMPROVEMENT AUTHORITY (MONMOUTH COUNTY, NEW JERSEY)",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31078168,01/24/2021
"TOWNSHIP OF HOWELL IN THE COUNTY OF MONMOUTH, NEW JERSEY",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31078168,01/24/2021
"TOWNSHIP OF HOWELL, IN THE COUNTY OF MONMOUTH, NEW JERSEY",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31078168,01/24/2021
"TOWNSHIP OF HOWELL, NEW JERSEY",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31078168,01/24/2021
